id,price,neighbourhood_cleansed,neighbourhood_group_cleansed,review_scores_rating
18674,179.0,la Sagrada Família,Eixample,4.39
23197,251.0,el Besòs i el Maresme,Sant Martí,4.8
32711,104.0,el Camp d'en Grassot i Gràcia Nova,Gràcia,4.46
34241,157.0,el Barri Gòtic,Ciutat Vella,4.36
34981,401.0,el Barri Gòtic,Ciutat Vella,4.54
36763,46.0,la Barceloneta,Ciutat Vella,4.79
40983,149.0,la Dreta de l'Eixample,Eixample,4.5
41952,199.0,el Camp d'en Grassot i Gràcia Nova,Gràcia,4.32
320506,122.0,el Poble Sec,Sants-Montjuïc,4.76
330723,21.0,el Raval,Ciutat Vella,4.48
330745,220.0,la Vila Olímpica del Poblenou,Sant Martí,4.62
330766,123.0,la Dreta de l'Eixample,Eixample,4.89
330957,159.0,la Dreta de l'Eixample,Eixample,4.78
337755,172.0,la Vila Olímpica del Poblenou,Sant Martí,4.69
341563,160.0,les Corts,Les Corts,5.0
343861,147.0,la Dreta de l'Eixample,Eixample,4.4
49968,126.0,el Camp d'en Grassot i Gràcia Nova,Gràcia,4.63
58512,139.0,el Camp de l'Arpa del Clot,Sant Martí,4.5
68547,162.0,el Barri Gòtic,Ciutat Vella,4.75
71520,315.0,Vallcarca i els Penitents,Gràcia,5.0
71553,162.0,la Dreta de l'Eixample,Eixample,4.23
71736,70.0,el Raval,Ciutat Vella,3.88
72436,173.0,el Poblenou,Sant Martí,4.73
72793,69.0,el Raval,Ciutat Vella,5.0
343864,151.0,la Vila de Gràcia,Gràcia,4.5
343866,171.0,la Vila de Gràcia,Gràcia,4.45
346018,81.0,el Parc i la Llacuna del Poblenou,Sant Martí,4.76
347824,174.0,la Barceloneta,Ciutat Vella,4.0
351395,167.0,el Fort Pienc,Eixample,4.59
352772,207.0,la Nova Esquerra de l'Eixample,Eixample,4.75
72794,48.0,el Raval,Ciutat Vella,4.33
73683,279.0,el Camp d'en Grassot i Gràcia Nova,Gràcia,4.57
75411,146.0,el Clot,Sant Martí,4.47
80004,117.0,el Poble Sec,Sants-Montjuïc,4.68
357576,218.0,la Vila de Gràcia,Gràcia,4.9
359841,131.0,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,4.68
364030,148.0,Sant Antoni,Eixample,4.66
365911,164.0,la Nova Esquerra de l'Eixample,Eixample,4.68
370665,180.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.8
373667,254.0,el Barri Gòtic,Ciutat Vella,4.8
89756,332.0,el Raval,Ciutat Vella,4.72
89776,119.0,la Dreta de l'Eixample,Eixample,4.77
95719,70.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.75
110041,94.0,el Camp d'en Grassot i Gràcia Nova,Gràcia,4.21
112538,386.0,la Sagrada Família,Eixample,4.45
377161,126.0,el Coll,Gràcia,4.65
384063,164.0,la Dreta de l'Eixample,Eixample,3.75
384464,800.0,la Dreta de l'Eixample,Eixample,4.97
393717,131.0,el Raval,Ciutat Vella,4.48
399772,178.0,la Nova Esquerra de l'Eixample,Eixample,4.86
402369,217.0,el Barri Gòtic,Ciutat Vella,4.29
